Attendance,Assignment_Score,Midterm_Score,Final_Score,Class_Participation,Behavioral_Score,Project_Score,Study_Hours_Per_Week,Extracurricular_Score,Performance_Level
0.6247240713084175,0.48319397861513413,0.7708920959462285,0.6299997137701283,0.6575967026268743,0.6968177601387211,0.7889541724466933,0.2666196359547577,0.03879945472888746,Medium
0.9704285838459497,0.4728851593503999,0.8576769780339606,0.8122620869372226,0.8443458634399892,0.7367178296875108,0.5034318172630997,0.5877108526405224,0.18677252823112933,High
0.839196365086843,0.9343782063647257,0.4753275291547493,0.6382656923154052,0.8081287438321272,0.9272736966010902,0.923436738012889,0.8856512522887674,0.8312458050899425,Medium
0.759195090518222,0.47468233989465425,0.7374118697248992,0.7506243795821316,0.32311992375501897,0.670002193029946,0.7678697434415449,0.759002397768605,0.7667683563383357,High
0.4936111842654619,0.4903648082900417,0.7002221882006241,0.5994724056264273,0.3193995757931791,0.9348248424060857,0.4943223301341726,0.8259050330753047,0.3506426914571469,Medium
0.49359671220172163,0.8315787836925745,0.8829812637517898,0.7765928139160116,0.41453949419593067,0.5440672154883457,0.9774028344887241,0.6929050300396457,0.3768106277742125,High
0.4348501673009197,0.614817889715378,0.9342609423368824,0.7127770075865276,0.4888597810728298,0.8883992186043154,0.7110192780011924,0.7230489080660673,0.5335544335535795,High
0.9197056874649611,0.8436973898686269,0.30850974003417075,0.6423222621105504,0.5267644651267861,0.9237738165273681,0.44373907112299305,0.8642760864087874,0.0002410046851345493,Medium
0.7606690070459252,0.34575631029506965,0.7718139433411548,0.604757607936138,0.7437577734666763,0.5909088264186694,0.7760997426490404,0.32470120797326735,0.24124433603802786,Medium
0.8248435466776274,0.641299835571369,0.3362850593838103,0.5823887252053945,0.24534434573266833,0.7151732661861002,0.5519193442076862,0.5404824672788264,0.20823180860821444,Medium
0.41235069657748147,0.32352952012829783,0.6842010655541491,0.422583899780799,0.22773816338085312,0.5827498873318278,0.8822160711263815,0.299088497637642,0.25048294674976346,Medium
0.9819459112971965,0.34385724241874815,0.5013429103305747,0.7540733285777533,0.5135284503551272,0.8533020644971089,0.8906932441397144,0.9889012071969823,0.8059058425334413,High
0.899465584480253,0.9345062173410876,0.5147436196654989,0.8332388335482086,0.7577309537103845,0.7676738840308284,0.9873684135127971,0.949653405717952,0.27967385654644317,High
